Player,Team,GamesPlayed,PassAttempts,PassCompletions,PassCompletionPercentage,TotalYards,YardsPerAttempt,TouchDowns,TouchDownsPercentage,Interceptions,InterceptionsPercentage,PasserRating
Brock Purdy,SF,16,444,308,69.4,4280,9.6,31,7,11,2.5,113.0
Dak Prescott,DAL,17,590,410,69.5,4516,7.7,36,6.1,9,1.5,105.9
Kirk Cousins,MIN,8,311,216,69.5,2331,7.5,18,5.8,5,1.6,103.8
Lamar Jackson,BAL,16,457,307,67.2,3678,8.1,24,5.2,7,1.5,102.7
Tua Tagovailoa,MIA,17,560,388,69.3,4624,8.3,29,5.2,14,2.5,101.1
C.J. Stroud,HOU,15,499,319,63.9,4108,8.2,23,4.6,5,1,100.8
Jake Browning,CIN,9,243,171,70.4,1936,8,12,4.9,7,2.9,98.4
Russell Wilson,DEN,15,447,297,66.4,3070,6.9,26,5.8,8,1.8,98.0
Jared Goff,DET,17,605,407,67.3,4575,7.6,30,5,12,2,97.9
Derek Carr,NO,17,548,375,68.4,3878,7.1,25,4.6,8,1.5,97.7
Jordan Love,GB,17,579,372,64.2,4159,7.2,32,5.5,11,1.9,96.1
Baker Mayfield,TB,17,566,364,64.3,4044,7.1,28,5,10,1.8,94.6
Justin Herbert,LAC,13,456,297,65.1,3134,6.9,20,4.4,7,1.5,93.2
Patrick Mahomes,KC,16,597,401,67.2,4183,7,27,4.5,14,2.4,92.6
Matthew Stafford,LA,15,521,326,62.6,3965,7.6,24,4.6,11,2.1,92.5
Josh Allen,BUF,17,579,385,66.5,4306,7.4,29,5,18,3.1,92.2
Geno Smith,SEA,15,499,323,64.7,3624,7.3,20,4,9,1.8,92.1
Joe Burrow,CIN,10,365,244,66.8,2309,6.3,15,4.1,6,1.6,91.0
Kyler Murray,ARI,8,268,176,65.7,1799,6.7,10,3.7,5,1.9,89.4
Jalen Hurts,PHI,17,538,352,65.4,3858,7.2,23,4.3,15,2.8,89.1
Trevor Lawrence,JAX,16,564,370,65.6,4016,7.1,21,3.7,14,2.5,88.5
Justin Fields,CHI,13,370,227,61.4,2562,6.9,16,4.3,9,2.4,86.3
Gardner Minshew,IND,17,490,305,62.2,3305,6.7,15,3.1,9,1.8,84.6
Will Levis,TEN,9,255,149,58.4,1808,7.1,8,3.1,4,1.6,84.2
Aidan O'Connell,LV,11,343,213,62.1,2218,6.5,12,3.5,7,2,83.9
Desmond Ridder,ATL,15,388,249,64.2,2836,7.3,12,3.1,12,3.1,83.4
Kenny Pickett,PIT,12,324,201,62.0,2070,6.4,6,1.9,4,1.2,81.4
Joshua Dobbs,ARI/MIN,13,417,262,62.8,2464,5.9,13,3.1,10,2.4,79.5
Sam Howell,WAS,17,612,388,63.4,3946,6.5,21,3.4,21,3.4,78.9
Zach Wilson,NYJ,12,368,221,60.0,2271,6.2,8,2.2,7,1.9,77.2
Mac Jones,NE,11,345,224,64.9,2120,6.1,10,2.9,12,3.5,77.0
Bryce Young,CAR,16,527,315,59.8,2877,5.5,11,2.1,10,1.9,73.7